"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Thomas Harper","DET","3.4","1.2","0.0","0.4","0.1","0.1","0.0","0.0","7.5"
"Carlton Davis III","NE","3.4","0.9","0.0","0.7","0.1","0.0","0.0","0.0","7.5"
"Dee Alford","BUF","3.2","0.9","0.0","0.7","0.1","0.0","0.0","0.0","7.4"
"Rock Ya-Sin","DET","3.4","0.9","0.0","0.7","0.1","0.0","0.0","0.0","7.4"
"Mekhi Blackmon","IND","3.7","1.0","0.0","0.5","0.1","0.0","0.0","0.0","7.4"
"Tyler Nubin","NYG","3.7","1.7","0.0","0.1","0.0","0.0","0.0","0.0","7.3"
"Andre Cisco","NYJ","3.6","1.7","0.0","0.2","0.1","0.0","0.0","0.0","7.3"
"C.J. Gardner-Johnson","BUF","3.4","0.8","0.1","0.3","0.1","0.1","0.0","0.0","7.2"
"Cam Lewis","CHI","3.0","1.7","0.0","0.4","0.1","0.1","0.0","0.0","7.2"
"Brandon Stephens","NYJ","3.6","0.9","0.0","0.6","0.0","0.0","0.0","0.0","7.2"
"Isaiah Pola-Mao","LV","3.5","1.5","0.0","0.2","0.1","0.0","0.0","0.0","7.2"
"A.J. Terrell Jr.","ATL","3.2","0.9","0.0","0.6","0.1","0.1","0.0","0.0","7.1"
"Joey Porter Jr.","PIT","3.1","1.0","0.0","0.8","0.1","0.0","0.0","0.0","7.1"
"Deommodore Lenoir","SF","3.3","1.2","0.0","0.4","0.1","0.0","0.0","0.0","7.1"
"Jacob Parrish","TB","3.4","1.1","0.1","0.5","0.1","0.0","0.0","0.0","7.1"
"Quan Martin","WAS","3.5","1.7","0.0","0.1","0.0","0.0","0.0","0.0","7.1"
"Riley Moss","DEN","3.3","1.0","0.0","0.6","0.1","0.0","0.0","0.0","7.1"
"Sauce Gardner","IND","3.1","1.0","0.0","0.8","0.1","0.0","0.0","0.0","7.0"
"DJ Turner II","CIN","2.3","0.8","0.0","1.0","0.2","0.1","0.1","0.0","6.9"
"Jamel Dean","PIT","2.9","0.8","0.0","0.6","0.1","0.1","0.0","0.0","6.9"
"Montaric Brown","JAC","3.0","0.7","0.0","0.7","0.1","0.0","0.0","0.0","6.9"
"Dadrion Taylor-Demerson","ARI","2.9","1.4","0.0","0.4","0.1","0.0","0.0","0.0","6.8"
"Javon Bullard","GB","3.5","1.3","0.0","0.2","0.0","0.0","0.0","0.0","6.8"
"Tarheeb Still","LAC","3.1","1.0","0.1","0.5","0.1","0.0","0.0","0.0","6.8"
"JuJu Brents","MIA","3.2","0.9","0.0","0.4","0.1","0.0","0.0","0.0","6.8"
"Josh Jobe","SEA","3.0","0.9","0.0","0.7","0.1","0.0","0.0","0.0","6.7"
"Ja'Quan McMillian","DEN","2.7","0.8","0.1","0.5","0.1","0.1","0.0","0.0","6.7"
"Mansoor Delane","KC","2.9","0.8","0.0","0.6","0.1","0.0","0.0","0.0","6.7"
"Martin Emerson Jr.","NO","3.2","0.9","0.0","0.5","0.1","0.0","0.0","0.0","6.7"
"Pat Surtain II","DEN","2.8","0.8","0.0","0.7","0.1","0.0","0.0","0.0","6.6"
"Xavier Woods","CHI","3.2","1.2","0.0","0.2","0.1","0.0","0.0","0.0","6.6"
"Christian Benford","BUF","2.7","0.8","0.1","0.5","0.1","0.0","0.1","0.0","6.6"
"L'Jarius Sneed","KC","3.2","0.9","0.0","0.4","0.1","0.0","0.0","0.0","6.5"
"Will Johnson","ARI","2.5","0.9","0.0","0.7","0.1","0.1","0.1","0.0","6.4"
"Jason Marshall Jr.","MIA","2.8","0.8","0.1","0.5","0.1","0.0","0.0","0.0","6.4"
"Cam Hart","LAC","2.7","0.7","0.0","0.7","0.1","0.0","0.0","0.0","6.4"
"Taron Johnson","LV","3.0","1.2","0.0","0.3","0.1","0.0","0.0","0.0","6.4"
"Riq Woolen","PHI","2.5","0.8","0.0","0.8","0.1","0.0","0.0","0.0","6.4"
"Isaiah Rodgers Sr.","MIN","3.0","0.8","0.0","0.3","0.1","0.1","0.1","0.0","6.4"
"Renardo Green","SF","3.0","1.1","0.0","0.5","0.1","0.0","0.0","0.0","6.4"
"Nahshon Wright","NYJ","2.7","0.8","0.0","0.5","0.1","0.1","0.1","0.0","6.4"
"Mike Hughes","ATL","3.1","0.9","0.0","0.4","0.1","0.0","0.0","0.0","6.3"
"Andrew Wingard","ARI","2.9","1.5","0.0","0.3","0.1","0.0","0.0","0.0","6.2"
"Avieon Terrell","ATL","2.9","0.8","0.0","0.5","0.1","0.0","0.0","0.0","6.2"
"Treydan Stukes","LV","2.7","1.0","0.0","0.3","0.1","0.0","0.0","0.0","6.2"
"Derek Stingley Jr.","HOU","2.1","0.7","0.0","0.9","0.2","0.0","0.0","0.0","6.2"
"Cobie Durant","DAL","2.4","0.8","0.0","0.6","0.1","0.0","0.0","0.0","6.1"
"Jaylinn Hawkins","BAL","2.8","1.4","0.0","0.2","0.1","0.0","0.0","0.0","6.1"
"Jaylen Watson","LAR","2.8","0.7","0.1","0.4","0.1","0.0","0.0","0.0","6.0"
"Jourdan Lewis","JAC","2.3","1.0","0.1","0.7","0.1","0.0","0.0","0.0","6.0"
"Maxwell Hairston","BUF","2.4","0.8","0.0","0.7","0.1","0.0","0.0","0.0","5.9"
"Jaycee Horn","CAR","2.3","0.8","0.0","0.6","0.1","0.0","0.0","0.0","5.9"
"Chris Johnson","MIA","2.5","0.7","0.0","0.5","0.1","0.0","0.0","0.0","5.9"
"Denzel Burke","ARI","2.4","0.8","0.0","0.6","0.1","0.0","0.0","0.0","5.8"
"Eric Stokes","LV","2.9","1.1","0.0","0.4","0.0","0.0","0.0","0.0","5.8"
"Trey Amos","WAS","2.7","0.8","0.0","0.5","0.1","0.0","0.0","0.0","5.8"
"Nohl Williams","KC","2.5","1.0","0.0","0.4","0.1","0.0","0.0","0.0","5.7"
"Kerby Joseph","DET","2.5","0.9","0.0","0.3","0.1","0.0","0.0","0.0","5.7"
"Jaylon Johnson","CHI","2.4","0.6","0.0","0.6","0.1","0.1","0.0","0.0","5.6"
"Theo Jackson","MIN","2.6","1.4","0.0","0.1","0.0","0.0","0.1","0.0","5.6"
"Caleb Ransaw","JAC","2.7","1.0","0.0","0.2","0.1","0.0","0.0","0.0","5.6"
"Tony Adams","TEN","2.6","1.0","0.0","0.3","0.1","0.0","0.0","0.0","5.6"
