"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marvin Mims Jr.","DEN","1.5","16.3","0.1","0.5","2.3","0.0","0.0","3.2"
"KaVontae Turpin","DAL","1.0","13.8","0.1","1.0","6.4","0.0","0.0","3.2"
"Xavier Hutchinson","HOU","1.3","17.6","0.1","0.1","0.5","0.0","0.0","3.2"
"Kendrick Bourne","ARI","1.6","19.1","0.1","0.0","0.0","0.0","0.0","3.2"
"Zachariah Branch","ATL","1.5","16.8","0.1","0.1","0.5","0.0","0.0","2.9"
"Ted Hurst III","TB","1.2","16.3","0.1","0.0","0.2","0.0","0.0","2.9"
"Tory Horton","SEA","1.2","15.9","0.1","0.0","0.1","0.0","0.0","2.9"
"Antonio Williams","WAS","1.3","15.6","0.1","0.1","0.7","0.0","0.0","2.9"
"Olamide Zaccheaus","ATL","1.3","13.8","0.1","0.1","0.6","0.0","0.0","2.6"
"Savion Williams","GB","1.1","12.0","0.1","0.5","2.0","0.0","0.0","2.5"
"Kalif Raymond","CHI","1.2","13.1","0.1","0.2","1.1","0.0","0.0","2.5"
"Kevin Coleman Jr.","MIA","1.3","15.2","0.0","0.0","0.0","0.0","0.0","2.4"
"John Metchie III","CAR","1.2","12.1","0.1","0.1","0.3","0.0","0.0","2.4"
"Troy Franklin","DEN","1.1","12.6","0.1","0.1","0.5","0.0","0.0","2.4"
"Chimere Dike","TEN","0.9","10.3","0.1","0.5","2.0","0.0","0.0","2.3"
"Hollywood Brown","PHI","0.9","12.3","0.1","0.0","0.0","0.0","0.0","2.3"
"Bryce Lance","NO","1.0","12.5","0.1","0.0","0.0","0.0","0.0","2.2"
"Colbie Young","CIN","1.0","11.6","0.1","0.0","0.0","0.0","0.0","2.2"
"Zavion Thomas","CHI","0.9","10.7","0.1","0.1","0.4","0.0","0.0","2.1"
"Devontez Walker","BAL","0.8","11.7","0.1","0.0","0.1","0.0","0.0","2.1"
"Elic Ayomanor","TEN","0.8","11.9","0.1","0.0","0.0","0.0","0.0","2.1"
"Joshua Palmer","BUF","0.9","12.1","0.1","0.0","0.0","0.0","0.0","2.1"
"Cyrus Allen","KC","0.9","11.3","0.1","0.0","0.0","0.0","0.0","2.0"
"Tutu Atwell","MIA","0.9","13.3","0.0","0.1","0.4","0.0","0.0","2.0"
"Roman Wilson","PIT","0.8","10.9","0.1","0.0","0.0","0.0","0.0","1.9"
"Treylon Burks","WAS","0.8","10.5","0.1","0.1","0.3","0.0","0.0","1.9"
"Isaiah Bond","CLE","0.7","9.9","0.1","0.2","0.9","0.0","0.0","1.9"
"Isaiah Williams","NYJ","1.1","10.8","0.0","0.2","0.9","0.0","0.0","1.9"
"Mason Tipton","NO","1.0","11.4","0.0","0.0","0.0","0.0","0.0","1.9"
"Tez Johnson","TB","0.7","8.9","0.1","0.2","0.8","0.0","0.0","1.8"
"Jordyn Tyson","NO","0.9","10.7","0.1","0.0","0.0","0.0","0.0","1.8"
"Greg Dortch","DET","0.8","7.8","0.1","0.3","1.3","0.0","0.0","1.8"
"Mack Hollins","NE","0.8","9.3","0.1","0.0","0.1","0.0","0.0","1.7"
"Demarcus Robinson","SF","0.6","9.0","0.1","0.0","0.0","0.0","0.0","1.7"
"Nick Westbrook-Ikhine","IND","0.7","8.2","0.1","0.0","0.0","0.0","0.0","1.7"
"Ashton Dulin","IND","0.6","8.6","0.1","0.1","0.8","0.0","0.0","1.6"
"Calvin Austin III","NYG","0.7","9.2","0.1","0.0","0.2","0.0","0.0","1.6"
"Brenen Thompson","LAC","0.6","8.4","0.1","0.0","0.3","0.0","0.0","1.6"
"Jimmy Horn Jr.","CAR","0.6","6.3","0.1","0.4","2.3","0.0","0.0","1.5"
"Elijah Sarratt","BAL","0.6","8.5","0.1","0.0","0.0","0.0","0.0","1.5"
"Jaylin Lane","WAS","0.6","8.2","0.0","0.1","0.5","0.0","0.0","1.4"
"Jalen Reagor","MIA","0.6","7.6","0.1","0.0","0.0","0.0","0.0","1.4"
"Jahdae Walker","CHI","0.6","7.3","0.1","0.0","0.0","0.0","0.0","1.4"
"Dyami Brown","WAS","0.6","8.1","0.0","0.1","0.4","0.0","0.0","1.4"
"Justin Watson","HOU","0.5","6.7","0.1","0.0","0.0","0.0","0.0","1.3"
"Malik Benson","LV","0.6","8.4","0.0","0.0","0.0","0.0","0.0","1.3"
"Konata Mumpfield","LAR","0.5","6.2","0.1","0.0","0.0","0.0","0.0","1.3"
"Lil'Jordan Humphrey","DEN","0.6","7.4","0.0","0.0","0.0","0.0","0.0","1.3"
"Chris Bell","MIA","0.6","6.6","0.1","0.0","0.0","0.0","0.0","1.3"
"Barion Brown","NO","0.6","7.4","0.0","0.0","0.0","0.0","0.0","1.2"
"Skyler Bell","BUF","0.6","7.3","0.0","0.0","0.1","0.0","0.0","1.2"
