"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Denzel Boston","CLE","WR60","0.0","0.3","0.0","2.8","35.2","0.2","0.0","6.0"
"Malik Washington","MIA","WR61","0.9","4.9","0.0","3.1","29.0","0.2","0.0","6.0"
"Chig Okonkwo","WAS","TE21","0.0","0.0","0.0","3.3","33.5","0.2","0.0","6.0"
"Pat Freiermuth","PIT","TE22","0.0","0.0","0.0","3.1","32.1","0.2","0.0","6.0"
"Keenan Allen","IND","WR62","0.0","0.0","0.0","3.0","33.2","0.2","0.0","5.9"
"Jauan Jennings","MIN","WR63","0.0","0.0","0.0","2.7","32.1","0.2","0.0","5.9"
"Dontayvion Wicks","PHI","WR64","0.0","0.1","0.0","2.4","32.7","0.2","0.0","5.9"
"Rashod Bateman","BAL","WR65","0.0","0.2","0.0","2.2","33.6","0.2","0.0","5.9"
"Calvin Ridley","TEN","WR66","0.2","0.8","0.0","2.1","34.0","0.2","0.0","5.8"
"Jerry Jeudy","CLE","WR67","0.1","0.2","0.0","2.6","35.2","0.2","0.0","5.8"
"Adonai Mitchell","NYJ","WR68","0.1","0.4","0.0","2.2","34.2","0.2","0.0","5.8"
"Darren Waller","CAR","TE23","0.0","0.0","0.0","2.6","29.2","0.3","0.0","5.7"
"Greg Dulcich","MIA","TE24","0.0","0.0","0.0","2.8","32.8","0.2","0.0","5.6"
"De'Zhaun Stribling","SF","WR69","0.1","0.4","0.0","2.4","32.2","0.2","0.0","5.6"
"Gunnar Helm","TEN","TE25","0.0","0.0","0.0","3.0","27.3","0.2","0.0","5.5"
"Cooper Kupp","SEA","WR70","0.0","0.2","0.0","2.4","30.7","0.2","0.0","5.5"
"Cade Otton","TB","TE26","0.0","0.0","0.0","2.9","29.0","0.2","0.0","5.4"
"George Kittle","SF","TE27","0.0","0.0","0.0","2.4","27.6","0.2","0.0","5.3"
"Kayshon Boutte","HOU","WR71","0.0","0.0","0.0","2.1","30.6","0.2","0.0","5.3"
"Ryan Flournoy","DAL","WR72","0.2","0.9","0.0","2.3","28.3","0.2","0.0","5.2"
"Tank Dell","HOU","WR73","0.3","1.6","0.0","2.2","27.9","0.2","0.0","5.2"
"Caleb Douglas","MIA","WR74","0.0","0.0","0.0","2.3","30.2","0.2","0.0","5.2"
"Tyler Allgeier","ARI","RB46","6.3","25.7","0.2","1.0","7.1","0.0","0.0","5.0"
"Mike Washington Jr.","LV","RB47","6.0","25.8","0.2","0.9","6.6","0.0","0.0","5.0"
"Isiah Pacheco","DET","RB48","6.7","27.8","0.2","0.8","4.8","0.0","0.0","5.0"
"Tre' Harris","LAC","WR75","0.1","0.3","0.0","2.2","27.8","0.2","0.0","5.0"
"Dylan Sampson","CLE","RB49","4.4","16.6","0.1","1.9","13.5","0.1","0.0","5.0"
"Kenyon Sadiq","NYJ","TE28","0.0","0.2","0.0","2.6","26.9","0.2","0.0","4.9"
"Pat Bryant","DEN","WR76","0.0","0.2","0.0","2.3","27.5","0.2","0.0","4.8"
"Terrance Ferguson","LAR","TE29","0.0","0.0","0.0","2.0","24.5","0.2","0.0","4.7"
"Justice Hill","BAL","RB50","2.5","11.3","0.1","1.8","14.6","0.1","0.0","4.6"
"Germie Bernard","PIT","WR77","0.1","0.5","0.0","2.0","25.6","0.2","0.0","4.6"
"Brian Robinson Jr.","ATL","RB51","6.6","26.9","0.2","0.6","4.2","0.0","0.0","4.6"
"Mike Gesicki","CIN","TE30","0.0","0.0","0.0","2.3","22.7","0.2","0.0","4.6"
"Jaylin Noel","HOU","WR78","0.2","0.8","0.0","2.0","23.7","0.2","0.0","4.5"
"Tyrone Tracy Jr.","NYG","RB52","5.7","24.5","0.1","0.9","6.6","0.0","0.0","4.3"
"Malachi Fields","NYG","WR79","0.0","0.1","0.0","1.9","23.4","0.2","0.0","4.3"
"Ja'Kobi Lane","BAL","WR80","0.0","0.0","0.0","1.6","23.4","0.2","0.0","4.2"
"David Njoku","LAC","TE31","0.0","0.0","0.0","1.9","19.7","0.2","0.0","4.1"
"MarShawn Lloyd","GB","RB53","5.0","19.9","0.1","0.9","6.2","0.0","0.0","4.1"
"Travis Hunter","JAC","WR81","0.1","0.6","0.0","1.8","22.0","0.1","0.0","4.0"
"Samaje Perine","CIN","RB54","4.0","17.0","0.2","1.0","7.1","0.0","0.0","4.0"
"Colby Parkinson","LAR","TE32","0.0","0.0","0.0","1.9","18.9","0.2","0.0","4.0"
"Jahan Dotson","ATL","WR82","0.0","0.0","0.0","1.8","23.3","0.1","0.0","4.0"
