"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Wade Woodaz","HOU","1.5","0.7","0.0","0.1","0.0","0.0","0.0","0.0","3.1"
"Micah McFadden","NYG","1.5","0.7","0.0","0.1","0.0","0.0","0.0","0.0","3.1"
"JD Bertrand","ATL","1.4","0.9","0.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Mike Danna","BUF","1.3","0.6","0.1","0.0","0.0","0.0","0.0","0.0","2.9"
"James Pearce Jr.","ATL","0.7","0.4","0.2","0.1","0.0","0.1","0.0","0.0","2.8"
"Jack Kiser","JAC","1.3","0.6","0.0","0.1","0.0","0.0","0.0","0.0","2.7"
"Jeffrey Bassa","KC","1.3","0.6","0.0","0.1","0.0","0.0","0.0","0.0","2.6"
"Bryce Boettcher","IND","1.3","0.6","0.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Jaishawn Barham","DAL","1.0","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.5"
"Claudin Cherelus","CAR","1.2","0.7","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Jordan Burch","ARI","0.9","0.6","0.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Ivan Pace Jr.","MIN","1.2","0.6","0.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Oluwafemi Oladejo","TEN","0.9","0.4","0.1","0.1","0.0","0.0","0.0","0.0","2.3"
"Keion White","SF","0.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.3"
"Jimmy Rolder","DET","1.1","0.5","0.0","0.0","0.0","0.0","0.0","0.0","2.3"
"Keyron Crawford","LV","0.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.2"
"Bud Dupree","LAC","0.8","0.4","0.1","0.1","0.0","0.0","0.0","0.0","2.1"
"L.J. Collier","ARI","0.9","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.0"
"Bo Richter","MIN","0.8","0.3","0.1","0.1","0.0","0.0","0.0","0.0","1.9"
"TJ Parker","BUF","0.7","0.3","0.1","0.0","0.0","0.0","0.0","0.0","1.9"
"Shaka Heyward","CIN","0.9","0.4","0.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Junior Colson","LAC","0.9","0.4","0.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Sam Williams","DAL","0.7","0.3","0.1","0.0","0.0","0.0","0.0","0.0","1.8"
"Jack Sanborn","CHI","0.9","0.4","0.0","0.1","0.0","0.0","0.0","0.0","1.7"
"Shaun Dolac","LAR","0.9","0.4","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Winston Reid","CLE","0.8","0.4","0.0","0.1","0.0","0.0","0.0","0.0","1.7"
"Drew Sanders","DEN","0.8","0.4","0.0","0.0","0.0","0.0","0.0","0.0","1.6"
"Red Murdock","DEN","0.8","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.5"
"James Williams Sr.","TEN","0.7","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"David Ojabo","MIA","0.6","0.3","0.1","0.0","0.0","0.0","0.0","0.0","1.4"
"David Walker","TB","0.5","0.2","0.1","0.0","0.0","0.0","0.0","0.0","1.4"
"Anfernee Jennings","NO","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Jack Sawyer","PIT","0.4","0.2","0.1","0.1","0.0","0.0","0.0","0.0","1.2"
"Jeremiah Trotter Jr.","PHI","0.6","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Marcelino McCrary-Ball","NYJ","0.6","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Tyrus Wheat","DAL","0.4","0.2","0.1","0.0","0.0","0.0","0.0","0.0","1.1"
"Romello Height","SF","0.4","0.2","0.1","0.0","0.0","0.0","0.0","0.0","1.1"
"Garret Wallow","SF","0.6","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Que Robinson","DEN","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Channing Tindall","ATL","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Chazz Surratt","SEA","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Kiko Mauigoa","NYJ","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Chad Muma","NE","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Thomas Incoom","CAR","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Arnold Ebiketie","PHI","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Cedric Johnson","CIN","0.3","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.7"
"Mike Morris","SEA","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Kyle Louis","MIA","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Tommy Eichenberg","LV","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Jared Ivey","SEA","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Marist Liufau","DAL","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Tyler Batty","MIN","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Braiden McGregor","NYJ","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Jack Kelly","NYG","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Daniel Hardy","CHI","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Bradyn Swinson","NE","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Smael Mondon Jr.","PHI","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Keir Thomas II","LAR","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Jamal Adams","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ronnie Harrison Jr.","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Giles-Harris","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetrius Flannigan-Fowles","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Troy Reeder","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
